,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Unit Book - Wolf's Dragoons,47,3022,,,,,,"As the year ends, Wolf exercises the escape clause in his contract with Steiner and signs on with the Draconis Combine after only two years of service with the Lyrans.",,,,,,,
Scenario Pack - Kell Hounds,14,3023,,,,,,The Kell Hounds accept a contract with the Federated Suns. They take part in exercises on Robinson that are precursors of Operation Galahad.,,,,,,,
Unit Book - Wolf's Dragoons,47,3023,,,,,,"The Dragoons navigate Kurita space, some headed toward Hoff, others toward the new home world of An Ting, and the majority to the world of Quentin where they will participate in a raid.",,,,,,,
25 Years of Art & Fiction,25,3024,,,,,,Concord of Kapteyn ratified by all members,,,,,,,
Handbook House Liao,41,3024,,,,,,"The Concord of Kapteyn—a loose alliance meant to defend against the growing power of the Steiner-Davion alliance—is ratifed by the Capellan Confederation, Draconis Combine and Free Worlds League. While not as inclusive in scope as the secret FederatedCommonwealth Document, the Concord does allow for intelligence sharing and limited military support.",,,,,,,
Unit Book - Wolf's Dragoons,47,3024,,,,,,"The Dragoons participate in many raids against the Davion border, including strikes on Thule. Klathandu, LeBlanc, Marduk, Breed. Proserpina, New Aberdeen, and Coursadin.",,,,,,,
25 Years of Art & Fiction,25,3025,,,,,,Capellan Confederation’s Operation Doppelganger takes place,,,,,,,
25 Years of Art & Fiction,25,3025,,,,,,McCarron’s War ends,,,,,,,
25 Years of Art & Fiction,25,3025,,,,,,Third Succession War ends,,,,,,,
Handbook House Liao,41,3025,,,,,,End of Third Succession War.,,,,,,,
Handbook House Marik,47,3025,,,,,,End of the Third Succession War.,,,,,,,
Historical - Fedcom Civil War,11,3025,,,,,,End of Third Succession War,,,,,,,
House Book House Davion,71,3025,,,,,,Chancellor Maximilian Liao unsuccessfully attempts to replace First Prince Hanse Davion with a double.,,,,,,,
Unit Book - Wolf's Dragoons,47,3025,,,,,,"Beta and Gamma Regiments invade Deshler. Meanwhile. Davion forces are Invading Marlowe's Rift, Delacruz, Capra, and AI Na'ir. On Thestria, they defeat Epsilon Regiment.",,,,,,,
25 Years of Art & Fiction,25,3026,,,,,,Federated Suns’ Operation Galahad 3026 takes place,,,,,,,
Handbook House Marik,52,3026,,,,,,The Gray Death Legion works for House Marik against the Capellan Confederation.,,,,,,,
Historical - Fedcom Civil War,11,3026,,,,,,Operation Galahad-first major wargame exercises between LCAF and AFFS ,,,,,,,
Scenario Pack - Kell Hounds,14,3026,,,,,,The Kell Hounds return to service in the Lyran Commonwealth and are assigned garrison duty on Pacifica (Chara Ill) for the first two years of their contract.,,,,,,,
Unit Book - Wolf's Dragoons,47,3026,,,,,,"Takashi Kurita awards Jaime Wolf the Order of Bushido Blade. While the Dragoons successfully raid Proserpina, David, and Cylene. Warlord Samsonov plots to prevent them from receiving badly needed supplies.",,,,,,,
Unit Book - Wolf's Dragoons,47,3026,,,,,,Late in the year Jaime Wolf sends a special team on a raid of Udibi for spare parts and supplies.,,,,,,,
25 Years of Art & Fiction,26,3027,,,,,,Lyran Commonwealth Operation Thor 3027 takes place,,,,,,,
25 Years of Art & Fiction,26,3027,,,,,,Operation Galahad 3027 takes place,,,,,,,
Historical - Fedcom Civil War,11,3027,,,,,,Operation Galahad II and Thor-second major wargame exercise,,,,,,,
Scenario Pack - Kell Hounds,14,3027,,,,,,"Takashi Kurita calls Yorinaga Kurita back from exile, and places him in charge of the newly formed Genyosha unit. Pacifica is attacked with superior force. After the Kell Hounds escape by jumping into Combine space, they learn of the kidnapping of Melissa Steiner and of her captivity on Styx. In the rescue, Patrick Kell is killed by Yorinaga Kurita.",,,,,,,
Scenario Pack - Kell Hounds,14,3027,,,,,,Morgan Kell returns from exile and reconstitutes the Kell Hounds to regimental size.,,,,,,,
Unit Book - Wolf's Dragoons,47,3027,,,,,,"Warlord Samsonov attempts to discredit Dragoons with a disinformation campaign, leading to the uprising on An An-Ting.",,,,,,,
Unit Book - Wolf's Dragoons,47,3027,,,,,,"Kurita agents invade the Hephaestus, triggering the evacuation of Dragoon dependents.",,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Capellan Confederation’s Operation Riposte takes place,,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Federated Commonwealth unofficially formed,,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Fourth Succession War begins,,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Gray Death Legion discovers Helm Library Core,,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Greater Valkyrate formed,,,,,,,
25 Years of Art & Fiction,26,3028,,,,,,Northwind Agreement takes effect,,,,,,,
Handbook House Liao,53,3028,,,,,,"The mercenary Gray Death Legion discovers the Helm Memory Core, a repository of Star League-era data, and manages to elude ComStar’s and House Marik’s e?orts to capture and destroy them. The Helm Memory Coret eventually fnds its way to every Successor State, bringing a technological renaissance. (dec) Operation Riposte, a counterattack designed to slow the Davion advance, fails; warned beforehand, the AFFS is prepared for the attacks and soundly defeats the Capellan invaders. The only success is a small e?ort against the world of Axton, which gains the Confederation valuable intelligence.",,,,,,,
Handbook House Liao,53,3028,,,,,,The Northwind Highlanders accept Hanse Davion’s invitation to return to Northwind in return for defecting from the Capellan Confederation; their betrayal creates a gap in the Confederation’s defenses that the AFFS is quick to exploit.,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,,,,,,Hanse Davion mamos Melissa Steiner. Wolf presents Tetsuhara's samurai swords to Takashi Kurita at the wedding reception.,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,,,,,,The Federated Suns invades the Capellan Confederation.,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,,,,,,The Lyran Commonwealth Invades the Draconis Combine.,,,,,,,
Unit Book - Wolf's Dragoons,47,3028,,,,,,"Kurita forces engage Alpha Battalion and the Black Widows on Glenmora In September. Other Kurita units engage Gamma and Epsilon on Harrow's Sun, and still others engage Beta and Delta on Wapakoneta.",,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,Capellan Confederation’s Operation Intruders Communion takes place,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,ComStar ‘Mechs stationed at FS HPGs,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,ComStar covertly attacks NAIS,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,DC and Wolf’s Dragoons battle on Crossing,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,FS framed for destruction of Sarna HPG and Interdicted,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,FS Interdiction lifted,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,St. Ives Compact formed,,,,,,,
25 Years of Art & Fiction,26,3029,,,,,,Tikonov Free Republic formed,,,,,,,
Handbook House Liao,53,3029,,,,,,"ComStar interdicts House Davion for allegedly destroying the HPG compound on Sarna, hampering the AFFS’ e?ectiveness and giving the CCAF hope. Unfortunately for the Confederation, Hanse Davion anticipated the Interdiction and uses a system of PonyExpress Jumpships to keep in contact with his commanders.",,,,,,,
Handbook House Liao,53,3029,,,,,,"Operation Intruders’ Communion—a raid on a New Avalon Institute of Science facility on Bethel—nets the Confederation a ?awed triple-strength myomer, which is retroftted onto the Warrior House Imarra BattleMechs on Sian. Manufacturing the material is too difcult to provide widespread use, but the Capellan Science Foundation works diligently on solving that problem.",,,,,,,
Handbook House Liao,53,3029,,,,,,"The Death Commandos and the Fourth Tau Ceti Rangers attack Kathil, but are defeated by the First Kathil Uhlans—an ad hoc unit commanded by Morgan Hasek-Davion, son of slain Duke Michael Hasek-Davion. Using captured Dropships, the Uhlans raid Sian and rescue Justin Allard and Candace Liao after using a catalytic gas to disable the Imarra Battle Mechs on guard duty.",,,,,,,
Handbook House Liao,53,3029,,,,,,"The St. Ives Commonality secedes from the Confederation and becomes the St. Ives Compact, an independent realm closely tied to the Federated Suns.",,,,,,,
Handbook House Liao,53,3029,,,,,,"The Tikonov Free Republic secedes from the Confederation, led by the traitor Colonel Pavel Ridzik and coerced by the Federated Suns.",,,,,,,
Historical - Fedcom Civil War,12,3029,,,,,,Tikonov Free Republic secedes from the Capellan Confederation; St. Ives Compact secedes from the Capellan Confederation,,,,,,,
Scenario Pack - Kell Hounds,14,3029,,,,,,"The Genyosha, the Fifth Sword of Light, and the Thirty-sixth Dieron Regulars attack Northwind, including Bradley's Bravos, who had just become part of the Kell Hounds.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3029,,,,,,Ulric Kerensky forestalls a new call for invasion.,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,Andurien/MC invasion of CC begins,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,ComStar gives Star League BattleMechs to DC,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,ComStar Operation Rosebud initiated,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,Duchy of Andurien secedes from FWL,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,Federated Suns’ Sarna March created,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,Fourth Succession War ends,,,,,,,
25 Years of Art & Fiction,26,3030,,,,,,FWL Internal Emergency Act passed,,,,,,,
Handbook House Liao,53,3030,,,,,,Fourth Succession War ends; Maximilian Liao su?ers a psychotic break. Romano Liao is named Chancellor-regent and immediately purges the state of anyone who might have collaborated with the Davions.,,,,,,,
Handbook House Liao,53,3030,,,3031,,,"The Duchy of Andurien and Magistracy of Canopus invade the Confederation, thinking it on the brink of collapse after the losses of the Fourth Succession War. Though they make several early gains, the Capellan forces facing them refuse to be drawn into decisive battles. Instead, they string the attackers out, tying them down and gaining the CCAF time to gather reinforcements.",,,,,,,
25 Years of Art & Fiction,26,3031,,,,,,CC attacked by Andurien/Canopus alliance,,,,,,,
25 Years of Art & Fiction,26,3031,,,,,,FS absorbs Tikonov Free Republic,,,,,,,
Handbook House Liao,53,3032,,,,,,"Counterattacks by McCarron’s Armored Cavalry and Warrior House troops stop the Magistracy and Andurien assaults cold. Several Capellan units emerge from hiding or guerrilla campaigns and eject the invaders, reversing the momentum of the war.",,,,,,,
Handbook House Liao,53,3033,,,,,,"In the face of growing Confederation counterattacks and its obvious determination, Magistracy and Andurien troops withdraw from Confederation space.",,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,Circinus Federation begins invasion of Illyrian Palatinate,,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,ComStar Operation Flush begins,,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,DC Ronin War takes place,,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,Free Rasalhague Republic formed,,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,FS and LC undergo Skye Crisis,,,,,,,
25 Years of Art & Fiction,26,3034,,,,,,Operation Rosebud ends,,,,,,,
Handbook House Marik,52,3034,,,,,,"Isis Marik is born. Her existence is not acknowledged until late 3035, after her father’s apparent murder.",,,,,,,
Historical - Fedcom Civil War,12,3034,,,,,,Free Rasalhague Republic Formed; Skye Crisis flares,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3034,,,,,,"Free Rasalhague Republic formed. The Combine's Ronin Wars follow, lasting until 23 May.",,,,,,,
25 Years of Art & Fiction,26,3035,,,,,,ComStar Readjustment Act of 3035 passed,,,,,,,
25 Years of Art & Fiction,26,3035,,,,,,MH invades Astrokaszy,,,,,,,
25 Years of Art & Fiction,26,3036,,,,,,St. Ives Compact founded,,,,,,,
Handbook House Liao,53,3036,,,,,,"Chancellor Maximilian Liao commits suicide. Romano Liao is named Chancellor; she begins another round of purges and begins to reshape Capellan society to complete her vision of a reclaimed Confederation. One of her frst acts is the Decree of Military Necessity, which outlaws consumer manufacture in favor of military production.",,,,,,,
House Book House Davion,79,3036,,,,,,Archon-Designate Melissa Steiner-Davion deals with an economic crisis in the Sarna March.,,,,,,,
25 Years of Art & Fiction,26,3037,,,,,,Andurien regained by FWL,,,,,,,
25 Years of Art & Fiction,26,3037,,,,,,FWL Addendum to the Incorporation passed,,,,,,,
25 Years of Art & Fiction,26,3038,,,,,,ComStar ‘Mechs stationed at CC HPGs,,,,,,,
Handbook House Liao,53,3038,,,,,,"Com Guard BattleMechs begin to garrison Confederation HPG compounds, as the Order’s military steps more and more into the public eye.",,,,,,,
25 Years of Art & Fiction,26,3039,,,,,,War of 3039 begins,,,,,,,
25 Years of Art & Fiction,26,3040,,,,,,War of 3039 ends,,,,,,,
Handbook House Liao,53,3040,,,,,,"Romano Liao issues the Decree of National Preparedness, which seizes all private property in the Confederation. She uses Chancellory Courts to name dissenters enemies of the state.",,,,,,,
Handbook House Marik,52,3040,,,,,,The Free Worlds League completes the recapture of the Duchy of Andurien.,,,,,,,
25 Years of Art & Fiction,26,3041,,,,,,Armed Forces of the Federated Commonwealth created,,,,,,,
25 Years of Art & Fiction,26,3041,,,,,,ComStar ‘Mechs stationed at LC HPGs,,,,,,,
25 Years of Art & Fiction,26,3042,,,,,,Circinus Civil War begins,,,,,,,
25 Years of Art & Fiction,26,3043,,,,,,FWL League General Accounting Office created,,,,,,,
25 Years of Art & Fiction,26,3044,,,,,,Operation Flush ends,,,,,,,
Handbook House Marik,55,3046,,,,,,The Military Reorganization Act transforms the FWLM into a genuinely national and cohesive army rather than a mishmash of regional and federal troops. The Provinces Harmonization Act subjects the Duchy of Oriente and the Principality of Regulus to the provisions of the Internal Emergency Act.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3046,,,,,,"A Ghost Bear assault on Niles kills Hell's Horses Khan Lair Seidman. His successor, Malavai Fletcher, is a staunch Crusader who pushes the Clan into the Crusader camp.",,,,,,,
25 Years of Art & Fiction,26,3047,,,,,,TC begins military buildup,,,,,,,
25 Years of Art & Fiction,26,3047,,,,,,TC forces destroy misjumped FC Jumpship,,,,,,,
Handbook House Marik,55,3047,,,,,,The Captain-General marries Sophina Desiree of Oceana.,,,,,,,
25 Years of Art & Fiction,26,3048,,,,,,Bidding for the right to invade takes place,,,,,,,
25 Years of Art & Fiction,26,3048,,,,,,Explorer Corps vessel Outbound Light encounters Clan Smoke Jaguar,,,,,,,
25 Years of Art & Fiction,26,3048,,,,,,MH military buildup begins,,,,,,,
25 Years of Art & Fiction,26,3048,,,,,,Rim Collection formed,,,,,,,
25 Years of Art & Fiction,26,3049,,,,,,Clan Operation Revival launches,,,,,,,
25 Years of Art & Fiction,26,3049,,,,,,ComStar makes contact with the Clans,,,,,,,
Handbook House Liao,53,3049,,,,,,"The Clans—descendants of the lost Star League Defense Force—return and attack the Lyran Commonwealth, Free Rasalhague Republic and Draconis Combine. No Inner Sphere force can stop them, until a Rasalhagian aerospace pilot rams the invaders’ ?agship with her fghter and kills the Clans’ war leader.",,,,,,,
